# Mooring endpoints for sea-leg synthesis. GENERATED by the tooling repo's
# WaterMapResourceTest — do not edit by hand. land = board/disembark tile,
# water = the boat's tile when moored.
type	landX	landY	waterX	waterY
mooring	2059	2605	2057	2605
mooring	2095	3188	2098	3187
mooring	2079	3689	2080	3691
gangplank	3173	2368	3174	2367
gangplank	3145	2824	3144	2825
gangplank	2143	3121	2144	3120
gangplank	2157	3325	2158	3324
mooring	2148	3531	2150	3529
gangplank	2151	3880	2152	3881
mooring	2193	2319	2189	2326
mooring	1201	2733	1202	2732
mooring	2220	3466	2222	3464
mooring	2282	2821	2283	2822
mooring	3353	2215	3353	2216
mooring	2344	2268	2345	2268
mooring	2320	2774	2318	2773
gangplank	2305	3689	2304	3689
gangplank	2310	3781	2309	3782
gangplank	2411	3781	2412	3780
mooring	2467	2718	2466	2720
gangplank	1451	2969	1452	2970
mooring	2532	2531	2533	2530
gangplank	1513	2973	1512	2974
gangplank	1506	3402	1507	3403
mooring	2542	3764	2543	3766
gangplank	2575	2291	2568	2295
gangplank	2575	2291	2568	2296
mooring	1555	2772	1557	2770
gangplank	2579	2843	2580	2844
gangplank	2612	3841	2613	3840
mooring	2660	2392	2660	2395
gangplank	2651	2677	2651	2678
gangplank	2685	3162	2686	3162
gangplank	2670	3266	2671	3265
gangplank	2629	3704	2630	3705
gangplank	2751	2951	2750	2952
gangplank	2746	3304	2747	3305
gangplank	1726	3453	1726	3452
gangplank	2808	2509	2809	2509
mooring	1758	2655	1766	2658
gangplank	1776	3141	1775	3142
gangplank	2759	3229	2758	3230
gangplank	2796	3413	2796	3412
mooring	2849	2325	2848	2326
gangplank	2878	3335	2879	3336
gangplank	1844	3688	1845	3687
mooring	2860	3970	2860	3972
mooring	1873	2983	1872	2984
gangplank	2907	3225	2906	3225
gangplank	1862	3307	1861	3307
mooring	1892	3428	1893	3429
mooring	2927	4055	2928	4055
mooring	2996	2287	2996	2289
mooring	2965	2608	2972	2602
gangplank	1922	2759	1923	2758
mooring	1958	3113	1958	3116
gangplank	2960	3146	2961	3146
mooring	1953	4056	1954	4055
mooring	3060	2638	3061	2638
gangplank	3069	2986	3070	2987
gangplank	3050	3192	3051	3193
