# Port-to-port sea distances in centitiles, keyed by mooring LAND tiles so index
# order never matters. GENERATED by scripts/rekey_sea_matrix.py from the tooling
# repo's docs/sailing-sea-matrix.tsv + docs/mooring-points.tsv — do not edit by hand.
fromLandX	fromLandY	toLandX	toLandY	centitiles
2059	2605	2095	3188	60246
2059	2605	2079	3689	113505
2059	2605	3173	2368	117773
2059	2605	3145	2824	114504
2059	2605	2143	3121	53924
2059	2605	2157	3325	74660
2059	2605	2148	3531	94968
2059	2605	2151	3880	131531
2059	2605	2193	2319	31068
2059	2605	1201	2733	88548
2059	2605	2220	3466	95914
2059	2605	2282	2821	35084
2059	2605	3353	2215	139297
2059	2605	2344	2268	44893
2059	2605	2320	2774	31608
2059	2605	2305	3689	116568
2059	2605	2310	3781	124577
2059	2605	2411	3781	131085
2059	2605	2467	2718	44184
2059	2605	1451	2969	71436
2059	2605	2532	2531	51562
2059	2605	1513	2973	66763
2059	2605	1506	3402	104075
2059	2605	2542	3764	143372
2059	2605	2569	2295	60468
2059	2605	2569	2295	60410
2059	2605	1555	2772	54011
2059	2605	2579	2843	58881
2059	2605	2612	3841	151826
2059	2605	2660	2392	67424
2059	2605	2651	2677	61676
2059	2605	2685	3162	94343
2059	2605	2670	3266	105003
2059	2605	2629	3704	150286
2059	2605	2751	2951	79138
2059	2605	2746	3304	110937
2059	2605	1726	3453	92644
2059	2605	2808	2509	78894
2059	2605	1758	2655	30372
2059	2605	1776	3141	75567
2059	2605	2759	3229	109109
2059	2605	2796	3413	122813
2059	2605	2849	2325	86157
2059	2605	2878	3335	122878
2059	2605	1844	3688	113288
2059	2605	2860	3970	180204
2059	2605	1873	2983	42935
2059	2605	2907	3225	123255
2059	2605	1862	3307	75048
2059	2605	1892	3428	86387
2059	2605	2927	4055	190526
2059	2605	2996	2287	101981
2059	2605	2965	2608	93172
2059	2605	1922	2759	20471
2059	2605	1958	3113	53784
2059	2605	2960	3146	126311
2059	2605	1953	4056	147472
2059	2605	3060	2638	101860
2059	2605	3069	2986	112984
2059	2605	3050	3192	131011
2095	3188	2059	2605	60246
2095	3188	2079	3689	53985
2095	3188	3173	2368	139756
2095	3188	3145	2824	123031
2095	3188	2143	3121	8330
2095	3188	2157	3325	15140
2095	3188	2148	3531	35448
2095	3188	2151	3880	72011
2095	3188	2193	2319	89730
2095	3188	1201	2733	105316
2095	3188	2220	3466	36394
2095	3188	2282	2821	50564
2095	3188	3353	2215	162980
2095	3188	2344	2268	99339
2095	3188	2320	2774	54244
2095	3188	2305	3689	57048
2095	3188	2310	3781	65057
2095	3188	2411	3781	71565
2095	3188	2467	2718	61952
2095	3188	1451	2969	79244
2095	3188	2532	2531	83101
2095	3188	1513	2973	74571
2095	3188	1506	3402	64622
2095	3188	2542	3764	83852
2095	3188	2569	2295	106186
2095	3188	2569	2295	106086
2095	3188	1555	2772	72692
2095	3188	2579	2843	67408
2095	3188	2612	3841	92306
2095	3188	2660	2392	100901
2095	3188	2651	2677	77918
2095	3188	2685	3162	102870
2095	3188	2670	3266	113530
2095	3188	2629	3704	90766
2095	3188	2751	2951	87665
2095	3188	2746	3304	119464
2095	3188	1726	3453	47125
2095	3188	2808	2509	102276
2095	3188	1758	2655	64756
2095	3188	1776	3141	39634
2095	3188	2759	3229	117636
2095	3188	2796	3413	131340
2095	3188	2849	2325	116810
2095	3188	2878	3335	131405
2095	3188	1844	3688	56191
2095	3188	2860	3970	120684
2095	3188	1873	2983	32062
2095	3188	2907	3225	131782
2095	3188	1862	3307	29090
2095	3188	1892	3428	31993
2095	3188	2927	4055	131006
